cohort,subjects,featuregraph_complete_objects,baseline_complete_objects,matched_objects,featuregraph_only_objects,baseline_only_objects,median_subject_featuregraph_matched_fraction,median_subject_baseline_matched_fraction,median_absolute_peak_error_samples,p90_absolute_peak_error_samples,median_absolute_period_error_seconds,median_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,featuregraph_only_excluded_by_both_annotators,featuregraph_only_excluded_by_both_fraction,featuregraph_ann1_detected_matched_fraction,featuregraph_ann1_reference_matched_fraction,featuregraph_ann2_detected_matched_fraction,featuregraph_ann2_reference_matched_fraction,llm_selected_baseline_ann1_detected_matched_fraction,llm_selected_baseline_ann1_reference_matched_fraction,llm_selected_baseline_ann2_detected_matched_fraction,llm_selected_baseline_ann2_reference_matched_fraction
all_subjects,53,8960,7168,6200,2760,968,0.7857142857142857,0.9912280701754386,12.0,34.0,0.08,0.0,0.35191166774343297,2344,0.8492753623188406,0.6750750083342594,0.8335620197585072,0.6946327369707745,0.846904213521203,0.9203445990722333,0.9527991218441273,0.9521537442014579,0.9733098496138735
transfer_subjects_02_53,52,8786,6999,6031,2755,968,0.7852990033222591,0.9911095305832147,12.0,34.0,0.088,0.0,0.3565922381711854,2342,0.8500907441016334,0.6691976427923844,0.8295869626299522,0.689143245693563,0.8432949660241298,0.9185084745762712,0.9516718179263838,0.9510508474576271,0.9726806268201359
