target,representation,feature_count,train_objects,test_objects,positive_test_objects,roc_auc,average_precision,balanced_accuracy,sensitivity,specificity,faultfree_false_positive_rate,median_detection_delay_samples
post_injection,raw_context,9,171,118,88,0.6518939393939394,0.8425195504506431,0.6276515151515152,0.48863636363636365,0.7666666666666667,0.375,89.5
post_injection,featuregraph,10,171,118,88,0.643560606060606,0.847147742393316,0.584469696969697,0.6022727272727273,0.5666666666666667,0.390625,89.5
post_injection,combined,19,171,118,88,0.6666666666666667,0.8586733702118549,0.5897727272727273,0.5795454545454546,0.6,0.40625,89.5
transient_response,raw_context,9,171,118,13,0.7897435897435897,0.6499620228493468,0.7454212454212454,0.5384615384615384,0.9523809523809523,0.03125,181.5
transient_response,featuregraph,10,171,118,13,0.7003663003663004,0.6431521007069969,0.7934065934065935,0.6153846153846154,0.9714285714285714,0.125,181.5
transient_response,combined,19,171,118,13,0.764102564102564,0.6553109418332672,0.802930402930403,0.6153846153846154,0.9904761904761905,0.078125,181.5
