subject_id,n_cycles,mean_peak_count_scipy,mean_peak_count_sig_diff,mean_peak_count_smoothed_w100,corr_scipy_vs_sig_diff
1,172,3.2674418604651163,9.180232558139535,1.0,0.2272436818385203
2,130,3.1769230769230767,14.815384615384616,1.0,0.34101352218586883
3,145,3.0827586206896553,25.49655172413793,1.0,0.25740699372653575
5,155,4.2,17.8,1.0,0.7926498862350503
10,153,1.6601307189542485,42.92156862745098,1.0,0.05310998199693163
19,184,3.6793478260869565,24.630434782608695,1.0,0.78015521478731
