construction,subjects,featuregraph_complete_objects,baseline_complete_objects,matched_objects,featuregraph_only_objects,baseline_only_objects,featuregraph_matched_fraction,baseline_matched_fraction,median_subject_featuregraph_matched_fraction,median_subject_baseline_matched_fraction,median_subject_absolute_count_error,subjects_over_baseline_count,subjects_under_baseline_count,median_absolute_peak_error_samples,p90_absolute_peak_error_samples,median_absolute_period_error_seconds,median_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,ann1_detected_matched_fraction,ann1_reference_matched_fraction,ann2_detected_matched_fraction,ann2_reference_matched_fraction
absolute,51,8701,6993,6030,2671,963,0.6930237903689231,0.8622908622908623,0.7857142857142857,0.9914529914529916,33.0,44,7,12.0,32.0,0.08,0.0,0.34744758138997367,0.6706340123598077,0.8333333333333334,0.6890592813000687,0.8448154903886629
mad,51,12403,6993,6850,5553,143,0.5522857373216158,0.9795509795509796,0.6359832635983264,1.0,67.0,51,0,13.0,27.0,0.1680000000000001,0.0019537699999999498,0.27390688467300184,0.5404905508644954,0.955773606370876,0.5597909127462807,0.9767082924091484
