condition,model,participants,rows,mae,rmse,r2,mae_rank_within_condition
physiology_only,train_mean,33,248,1.6852696488452488,2.0725444635378185,-0.014901691527436922,1
physiology_only,nori_6m,33,248,1.8216883265935881,2.2825810751286943,-0.23103014460538174,2
physiology_only,xgboost,33,248,1.8684475325768994,2.3739753104146173,-0.3315842792397685,3
physiology_only,lightgbm,33,248,1.9173386818434996,2.4121745489098174,-0.3747816447659622,4
physiology_plus_protocol,train_mean,33,248,1.6852696488452488,2.0725444635378185,-0.014901691527436922,1
physiology_plus_protocol,nori_6m,33,248,1.7738981122672737,2.1795411852129933,-0.12239680896381788,2
physiology_plus_protocol,xgboost,33,248,1.7916395832454004,2.241234900061535,-0.1868368344262521,3
physiology_plus_protocol,lightgbm,33,248,1.8245882320331632,2.275837086886898,-0.22376662304464423,4
