smooth_window,diff_lag,eps,replicate,detected,truth,matched,precision,recall,f1,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
1,1,0.0,0,314,12,12,0.03821656050955414,1.0,0.07361963190184048,38.583333333333336,1.0,39.0,77.58333333333333,0.7775973596298827,0.12499999999999999
1,1,0.0,1,325,12,12,0.036923076923076927,1.0,0.07121661721068251,38.083333333333336,0.6666666666666666,38.583333333333336,76.66666666666667,0.7776132449521272,0.31388888888888883
1,1,0.0,2,328,12,12,0.036585365853658534,1.0,0.07058823529411765,38.166666666666664,0.9166666666666666,38.666666666666664,76.83333333333333,0.772524445716756,0.16666666666666663
1,1,0.0,3,321,12,12,0.037383177570093455,1.0,0.07207207207207207,38.333333333333336,0.75,38.0,76.33333333333333,0.7642222680320024,0.24444444444444438
1,1,0.0,4,321,12,12,0.037383177570093455,1.0,0.07207207207207207,38.25,0.9166666666666666,38.583333333333336,76.83333333333333,0.8563718736583238,0.19166666666666665
1,1,0.01,0,315,12,12,0.0380952380952381,1.0,0.07339449541284404,38.583333333333336,1.0,39.0,77.58333333333333,0.7775973596298827,0.12499999999999999
1,1,0.01,1,326,12,12,0.03680981595092025,1.0,0.07100591715976332,38.166666666666664,0.6666666666666666,38.583333333333336,76.75,0.7932063320208433,0.3
1,1,0.01,2,333,12,12,0.036036036036036036,1.0,0.06956521739130435,38.166666666666664,0.9166666666666666,38.666666666666664,76.83333333333333,0.772524445716756,0.16666666666666663
1,1,0.01,3,318,12,12,0.03773584905660377,1.0,0.07272727272727272,38.333333333333336,0.75,38.0,76.33333333333333,0.7642222680320024,0.24444444444444438
1,1,0.01,4,321,12,12,0.037383177570093455,1.0,0.07207207207207207,38.416666666666664,0.8333333333333334,38.416666666666664,76.83333333333333,0.8577359500887746,0.19166666666666665
1,1,0.03,0,314,12,12,0.03821656050955414,1.0,0.07361963190184048,38.583333333333336,1.0,38.916666666666664,77.5,0.7775973596298827,0.15277777777777776
1,1,0.03,1,326,12,12,0.03680981595092025,1.0,0.07100591715976332,38.166666666666664,0.6666666666666666,38.5,76.66666666666667,0.7932063320208433,0.31388888888888883
1,1,0.03,2,325,12,12,0.036923076923076927,1.0,0.07121661721068251,38.166666666666664,0.9166666666666666,38.666666666666664,76.83333333333333,0.772524445716756,0.16666666666666663
