distance_fraction,prominence,seed,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.3,0.1,1729,23,12,10,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.6875220458553792,11.0,2.0,14.1,23.9,0.13943356127716078,0.31527101069389996
0.3,0.1,1730,31,12,2,0.06451612903225806,0.16666666666666666,0.09302325581395349,0.5998493975903614,15.0,3.0,17.5,29.5,0.027655652112328177,0.476997578692494
0.3,0.1,1731,24,12,6,0.25,0.5,0.3333333333333333,0.6461285618665137,14.333333333333334,2.1666666666666665,14.166666666666666,27.166666666666668,0.12325017567408415,0.5334878545188739
0.3,0.1,1732,32,12,4,0.125,0.3333333333333333,0.18181818181818182,0.6233231707317073,19.0,3.75,11.25,29.25,0.05672047938474134,0.3588141025641026
0.3,0.1,1733,24,12,5,0.20833333333333334,0.4166666666666667,0.2777777777777778,0.6542144906743186,16.2,3.0,11.8,25.2,0.19544836119423545,0.2862629399585922
0.3,0.1,1734,25,12,6,0.24,0.5,0.32432432432432434,0.620145215006367,11.0,3.6666666666666665,19.666666666666668,29.0,0.07895351251402256,0.5055065525027977
0.3,0.1,1735,23,12,6,0.2608695652173913,0.5,0.3428571428571428,0.6015325670498084,19.166666666666668,2.6666666666666665,13.166666666666666,30.0,0.06878777121317059,0.5894897111417762
0.3,0.1,1736,32,12,2,0.0625,0.16666666666666666,0.09090909090909091,0.625,16.5,6.0,13.5,30.0,0.10609071134672388,0.54
0.3,0.1,1737,28,12,5,0.17857142857142858,0.4166666666666667,0.25,0.6259251290877798,12.0,2.6,18.4,27.6,0.15036811949677956,0.5652498048399688
0.3,0.1,1738,27,12,6,0.2222222222222222,0.5,0.30769230769230765,0.6312336896517114,7.333333333333333,4.833333333333333,22.666666666666668,27.333333333333332,0.10257427141858816,0.43449093437707625
0.3,0.1,1739,28,12,6,0.21428571428571427,0.5,0.3,0.6041666666666666,22.0,4.166666666666667,9.666666666666666,31.666666666666668,0.11360477221558968,0.4270928047523792
0.3,0.1,1740,26,12,5,0.19230769230769232,0.4166666666666667,0.2631578947368421,0.5561308780690803,21.2,2.2,15.2,32.4,0.14134217017043949,0.49687635182132617
0.3,0.1,1741,30,12,4,0.13333333333333333,0.3333333333333333,0.19047619047619044,0.6342978395061728,21.75,2.75,8.0,27.25,0.08675837644574153,0.5865705232795178
0.3,0.1,1742,28,12,3,0.10714285714285714,0.25,0.15,0.65,26.0,1.6666666666666667,2.0,28.0,0.07818183276941677,0.4217068645640074
0.3,0.1,1743,28,12,3,0.10714285714285714,0.25,0.15,0.6055617531855818,28.0,2.0,4.0,29.333333333333332,0.06783905026272848,0.5415873015873015
0.3,0.1,1744,25,12,2,0.08,0.16666666666666666,0.10810810810810811,0.7895061728395062,12.5,3.0,4.5,16.0,0.19860369611974998,0.2996031746031746
0.3,0.1,1745,27,12,7,0.25925925925925924,0.5833333333333334,0.358974358974359,0.6314465450262793,15.285714285714286,2.7142857142857144,14.571428571428571,28.142857142857142,0.13939602874524684,0.38536976884083235
0.3,0.1,1746,29,12,4,0.13793103448275862,0.3333333333333333,0.1951219512195122,0.584375,13.0,2.5,20.25,33.25,0.17858237856897197,0.35010157283676446
0.3,0.1,1747,25,12,5,0.2,0.4166666666666667,0.2702702702702703,0.6894512195121951,13.4,3.2,11.6,24.2,0.10538811137027779,0.44594367427336234
0.3,0.1,1748,25,12,5,0.2,0.4166666666666667,0.2702702702702703,0.5405555555555555,19.6,4.8,18.0,33.6,0.10871671472436044,0.5910161409531984
0.3,0.25,1729,18,12,12,0.6666666666666666,1.0,0.8,0.7271026969111333,7.833333333333333,1.8333333333333333,14.583333333333334,19.75,0.16988344580938564,0.312315749405071
0.3,0.25,1730,20,12,8,0.4,0.6666666666666666,0.5,0.6560944985615522,11.875,3.125,16.75,22.125,0.10482204128676617,0.5109164034117766
0.3,0.25,1731,17,12,11,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.6744296256134307,11.090909090909092,2.272727272727273,15.454545454545455,23.454545454545453,0.14541655498368647,0.46094013897916003
0.3,0.25,1732,22,12,8,0.36363636363636365,0.6666666666666666,0.4705882352941177,0.682977188009428,19.875,2.5,6.0,22.875,0.09842436809244666,0.4054866497881203
0.3,0.25,1733,17,12,8,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.7353880673666362,15.0,4.125,6.75,18.75,0.2358014482951472,0.3341072926670753
