noise_std,seed,method,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.0,11747,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11748,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11748,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11749,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11749,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11750,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11750,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11751,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11751,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11752,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11752,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11753,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11753,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11754,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11754,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11755,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11755,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11756,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11756,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11757,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11757,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11758,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7902621722846441,9.666666666666666,8.0,9.0,0.6666666666666666,0.020437308661978692,0.03449074074074076
0.0,11758,SciPy baseline,12,12,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,11729,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7853308364544319,9.916666666666666,7.583333333333333,9.25,0.8333333333333334,0.016745676879916616,0.05113992911278234
0.05,11729,SciPy baseline,12,12,12,1.0,1.0,1.0,0.9546151772429866,1.9166666666666667,1.75,1.8333333333333333,3.0833333333333335,0.06178721746001962,0.0331425177779685
0.05,11730,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7885871826883063,9.75,8.0,9.083333333333334,0.8333333333333334,0.017117356851954608,0.03657505078918582
0.05,11730,SciPy baseline,12,12,12,1.0,1.0,1.0,0.9533941489784348,1.8333333333333333,1.75,2.0,2.1666666666666665,0.054095524155892784,0.06072654051095583
0.05,11731,FeatureGraph,12,12,12,1.0,1.0,1.0,0.795252383384406,9.416666666666666,8.0,8.75,1.1666666666666667,0.0175959631413016,0.030342838009460128
0.05,11731,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,0.9437881127079565,2.3636363636363638,1.4545454545454546,2.272727272727273,3.3636363636363638,0.05655358844268217,0.06089825449909585
0.05,11732,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7901938391404683,9.666666666666666,8.0,9.0,1.0,0.012966050914622792,0.03477391475487295
0.05,11732,SciPy baseline,12,12,12,1.0,1.0,1.0,0.9592337415433662,1.5833333333333333,2.1666666666666665,1.75,2.5,0.06008667859461344,0.05825230438058051
0.05,11733,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7912152896001211,9.583333333333334,7.666666666666667,9.0,0.9166666666666666,0.017818495589593576,0.041718432567588705
0.05,11733,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,0.9470183012066941,2.1818181818181817,0.9090909090909091,2.1818181818181817,2.1818181818181817,0.047982301612323426,0.05280116289441386
0.05,11734,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7935712461695608,9.5,8.083333333333334,8.833333333333334,0.8333333333333334,0.021238666307660147,0.030342186866052306
0.05,11734,SciPy baseline,12,12,12,1.0,1.0,1.0,0.9652892856931995,1.5833333333333333,1.0833333333333333,1.25,2.5,0.05739612957285036,0.037514471357221184
0.05,11735,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7919539496084441,9.583333333333334,7.916666666666667,8.916666666666666,0.8333333333333334,0.01666609110410258,0.03449106631244467
0.05,11735,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,0.9654643374351474,1.3636363636363635,2.3636363636363638,1.4545454545454546,1.3636363636363635,0.062107231180192034,0.05538161948775071
0.05,11736,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7929070669239208,9.5,8.083333333333334,8.916666666666666,1.0833333333333333,0.019605437259432645,0.029244478303901655
0.05,11736,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,0.9601591767220566,1.7272727272727273,1.0909090909090908,1.5454545454545454,2.5454545454545454,0.0613025013052709,0.05192879170717014
0.05,11737,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7886039704157682,9.75,7.916666666666667,9.083333333333334,1.1666666666666667,0.014377731824196651,0.03865968640933479
0.05,11737,SciPy baseline,12,12,12,1.0,1.0,1.0,0.9703036054831445,1.0833333333333333,1.9166666666666667,1.3333333333333333,2.25,0.06997055959259457,0.0561192732588067
0.05,11738,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7885871826883063,9.75,7.916666666666667,9.083333333333334,0.8333333333333334,0.021054695561781606,0.0386326639579101
0.05,11738,SciPy baseline,12,12,12,1.0,1.0,1.0,0.9591283334040108,1.75,1.8333333333333333,1.5833333333333333,2.8333333333333335,0.06109289517718719,0.06402772421111275
0.05,11739,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7927093973442286,9.583333333333334,8.083333333333334,8.833333333333334,0.9166666666666666,0.021581136495831942,0.0292701984685107
0.05,11739,SciPy baseline,11,12,11,1.0,0.9166666666666666,0.9565217391304348,0.9680173945426961,1.2727272727272727,2.0,1.3636363636363635,1.7272727272727273,0.058979008786599,0.058326626418570275
0.05,11740,FeatureGraph,12,12,12,1.0,1.0,1.0,0.7878485226799833,9.75,7.75,9.166666666666666,0.9166666666666666,0.023039835228242617,0.043802417044329855
