smooth_window,diff_lag,eps,seed,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
1,3,0.01,1735,197,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1736,208,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1737,210,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1738,204,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1739,205,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1740,198,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1741,197,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1742,210,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1743,193,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1744,199,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1745,215,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1746,209,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1747,190,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.01,1748,212,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1729,202,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1730,205,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1731,207,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1732,207,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1733,205,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1734,201,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1735,196,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1736,204,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1737,209,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1738,203,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1739,205,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1740,192,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1741,199,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1742,211,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1743,200,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1744,201,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1745,207,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1746,206,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1747,193,12,0,0.0,0.0,0.0,,,,,,,
1,3,0.03,1748,208,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1729,162,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1730,167,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1731,157,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1732,162,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1733,138,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1734,136,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1735,161,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1736,143,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1737,137,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1738,156,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1739,149,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1740,168,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1741,154,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1742,140,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1743,146,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1744,134,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1745,170,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1746,160,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1747,166,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.0,1748,149,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1729,161,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1730,166,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1731,156,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1732,159,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1733,140,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1734,138,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1735,159,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1736,142,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1737,141,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1738,158,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1739,149,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1740,166,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1741,152,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1742,141,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1743,146,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1744,138,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1745,168,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1746,163,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1747,163,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.01,1748,149,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1729,159,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1730,165,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1731,157,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1732,156,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1733,145,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1734,135,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1735,159,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1736,142,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1737,149,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1738,153,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1739,148,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1740,167,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1741,143,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1742,147,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1743,146,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1744,133,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1745,164,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1746,161,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1747,163,12,0,0.0,0.0,0.0,,,,,,,
1,5,0.03,1748,146,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.0,1729,67,12,3,0.04477611940298507,0.25,0.07594936708860758,0.6066630355846042,19.333333333333332,5.333333333333333,12.666666666666666,28.0,0.24563183883753817,0.5686470242644498
1,10,0.0,1730,80,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.0,1731,75,12,2,0.02666666666666667,0.16666666666666666,0.04597701149425287,0.6875,23.5,6.0,1.5,25.0,0.2492323862660012,0.37999293036408627
1,10,0.0,1732,76,12,3,0.039473684210526314,0.25,0.06818181818181818,0.7391849844424371,9.0,3.3333333333333335,12.0,19.0,0.2650171558889068,0.3094921007964486
1,10,0.0,1733,68,12,1,0.014705882352941176,0.08333333333333333,0.025,0.525,6.0,4.0,32.0,38.0,0.02804033842535647,0.8095238095238095
1,10,0.0,1734,65,12,1,0.015384615384615385,0.08333333333333333,0.025974025974025976,0.8333333333333334,10.0,4.0,4.0,6.0,0.3223833375884473,0.08108108108108114
1,10,0.0,1735,69,12,1,0.014492753623188406,0.08333333333333333,0.02469135802469136,0.925,3.0,5.0,3.0,6.0,0.17888433334232356,0.1351351351351351
1,10,0.0,1736,64,12,1,0.015625,0.08333333333333333,0.02631578947368421,0.6746987951807228,24.0,2.0,3.0,21.0,0.25557677129069134,0.38983050847457634
1,10,0.0,1737,75,12,1,0.013333333333333334,0.08333333333333333,0.022988505747126436,0.875,6.0,5.0,4.0,10.0,0.24986203705009302,0.11428571428571432
1,10,0.0,1738,69,12,1,0.014492753623188406,0.08333333333333333,0.02469135802469136,0.5375,5.0,7.0,32.0,37.0,0.1409709391372167,0.9534883720930233
1,10,0.0,1739,78,12,1,0.01282051282051282,0.08333333333333333,0.022222222222222223,0.8125,11.0,4.0,4.0,15.0,0.2776500301850482,0.01538461538461533
1,10,0.0,1740,67,12,2,0.029850746268656716,0.16666666666666666,0.05063291139240506,0.55,17.0,5.5,20.0,32.0,0.11299425269759056,0.6535714285714286
1,10,0.0,1741,59,12,1,0.01694915254237288,0.08333333333333333,0.028169014084507043,0.5,5.0,3.0,35.0,40.0,0.23936199835412308,0.9
1,10,0.0,1742,68,12,3,0.04411764705882353,0.25,0.075,0.7458333333333332,6.333333333333333,2.0,14.0,20.333333333333332,0.2620426209981089,0.3167772249861802
1,10,0.0,1743,78,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.0,1744,62,12,2,0.03225806451612903,0.16666666666666666,0.05405405405405405,0.70625,8.5,4.5,15.0,23.5,0.20680503525685645,0.3818493150684932
1,10,0.0,1745,76,12,1,0.013157894736842105,0.08333333333333333,0.022727272727272728,0.9,6.0,7.0,2.0,8.0,0.3725312426136438,0.13888888888888884
1,10,0.0,1746,91,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.0,1747,69,12,1,0.014492753623188406,0.08333333333333333,0.02469135802469136,0.55,36.0,7.0,0.0,36.0,0.39000939802717305,0.5
1,10,0.0,1748,77,12,1,0.012987012987012988,0.08333333333333333,0.02247191011235955,0.525,7.0,3.0,31.0,38.0,0.06830758201778342,0.7142857142857143
1,10,0.01,1729,69,12,1,0.014492753623188406,0.08333333333333333,0.02469135802469136,0.5185185185185185,38.0,5.0,1.0,37.0,0.22547874844312044,0.6744186046511628
1,10,0.01,1730,79,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.01,1731,74,12,2,0.02702702702702703,0.16666666666666666,0.046511627906976744,0.6843364197530865,23.5,6.0,2.0,24.5,0.2492323862660012,0.38405797101449274
1,10,0.01,1732,75,12,3,0.04,0.25,0.06896551724137932,0.7391849844424371,9.0,3.3333333333333335,12.0,19.0,0.2650171558889068,0.3094921007964486
1,10,0.01,1733,66,12,1,0.015151515151515152,0.08333333333333333,0.02564102564102564,0.525,6.0,4.0,32.0,38.0,0.02804033842535647,0.8095238095238095
1,10,0.01,1734,64,12,1,0.015625,0.08333333333333333,0.02631578947368421,0.8333333333333334,10.0,4.0,4.0,6.0,0.3223833375884473,0.08108108108108114
1,10,0.01,1735,70,12,1,0.014285714285714285,0.08333333333333333,0.024390243902439022,0.925,3.0,5.0,3.0,6.0,0.17888433334232356,0.1351351351351351
1,10,0.01,1736,62,12,1,0.016129032258064516,0.08333333333333333,0.027027027027027025,0.6511627906976745,24.0,2.0,6.0,18.0,0.27957304984050935,0.4193548387096775
1,10,0.01,1737,74,12,1,0.013513513513513514,0.08333333333333333,0.023255813953488372,0.875,6.0,5.0,4.0,10.0,0.24986203705009302,0.11428571428571432
1,10,0.01,1738,72,12,1,0.013888888888888888,0.08333333333333333,0.02380952380952381,0.5375,5.0,7.0,32.0,37.0,0.1409709391372167,0.9534883720930233
1,10,0.01,1739,76,12,1,0.013157894736842105,0.08333333333333333,0.022727272727272728,0.8125,11.0,4.0,4.0,15.0,0.2776500301850482,0.01538461538461533
1,10,0.01,1740,70,12,1,0.014285714285714285,0.08333333333333333,0.024390243902439022,0.5,5.0,4.0,35.0,40.0,0.045611152190524695,0.95
