distance_fraction,prominence,f1_mean,f1_std,f1_ci95,precision_mean,recall_mean,interval_iou_mean,peak_mae,duration_mae,temporal_symmetry_mae
0.6,0.1,0.9978260869565216,0.009722034684781666,0.004260869565217388,1.0,0.9958333333333333,0.9248170601397432,3.1011363636363636,4.348484848484849,0.09956690740217411
0.6,0.25,0.9956521739130435,0.013382326331545473,0.0058650631093865304,1.0,0.9916666666666666,0.9251645849768447,3.0901515151515153,4.3136363636363635,0.09926757512666778
0.6,0.4,0.9869565217391305,0.020441841129635943,0.008959031884818948,1.0,0.975,0.925937714640326,3.0890151515151514,4.323106060606061,0.09933864098130821
0.3,0.4,0.8367028808550547,0.08137034828265235,0.0356621275021174,0.7880885780885781,0.8958333333333334,0.7997961925716934,3.0684848484848484,13.876792929292929,0.2697717331014732
0.45,0.4,0.747928936325488,0.12219238615082763,0.05355317442616626,0.6961239495798319,0.8125,0.7661329937140021,2.932007575757576,17.204897186147186,0.36403913590806936
0.45,0.25,0.6192645377580027,0.11146380114013993,0.04885116473045479,0.5293230365695536,0.75,0.6796262648491773,2.8964249639249635,24.1135101010101,0.49132703442289005
0.45,0.1,0.5500225684368196,0.08859929296210853,0.0388303521970519,0.44733106695281954,0.7166666666666667,0.6174400690400343,2.876751443001443,29.287231240981242,0.5862332469502036
0.3,0.25,0.5329811502081926,0.1291190037126288,0.0565888984197432,0.43207689262062327,0.7,0.7054473627086125,2.931810966810967,21.253501082251084,0.3894241867282783
0.3,0.1,0.25147715150051175,0.11358335004939453,0.04978009799722965,0.18390990175133787,0.4,0.6300182948937493,3.134047619047619,28.13964285714286,0.45757193334007235
